JRV,ORIGEN,CANDIDATO_RUBRO,VOTOS
5446,ESCRUTINIO,PINU,5
5446,ESCRUTINIO,P. LIBERAL,141
5446,ESCRUTINIO,LIBRE,23
5446,ESCRUTINIO,P. NACIONAL,33
5446,ESCRUTINIO,VOTOS BLANCOS,2
5446,ESCRUTINIO,VOTOS NULOS,1
5446,ESCRUTINIO,GRAN TOTAL,205
5446,TREP,DC,0
5446,TREP,PINU,5
5446,TREP,P. LIBERAL,141
5446,TREP,LIBRE,23
5446,TREP,P. NACIONAL,33
5446,TREP,VOTOS BLANCOS,2
5446,TREP,VOTOS NULOS,1
5446,TREP,GRAN TOTAL,205
5448,ESCRUTINIO,DC,0
5448,ESCRUTINIO,PINU,2
5448,ESCRUTINIO,P. LIBERAL,132
5448,ESCRUTINIO,LIBRE,49
5448,ESCRUTINIO,P. NACIONAL,21
5448,ESCRUTINIO,VOTOS BLANCOS,0
5448,ESCRUTINIO,VOTOS NULOS,4
5448,ESCRUTINIO,GRAN TOTAL,208
5448,TREP,DC,0
5448,TREP,PINU,2
5448,TREP,P. LIBERAL,132
5448,TREP,LIBRE,49
5448,TREP,P. NACIONAL,21
5448,TREP,VOTOS BLANCOS,0
5448,TREP,VOTOS NULOS,4
5448,TREP,GRAN TOTAL,208
5449,ESCRUTINIO,DC,0
5449,ESCRUTINIO,PINU,4
5449,ESCRUTINIO,P. LIBERAL,138
5449,ESCRUTINIO,LIBRE,40
5449,ESCRUTINIO,P. NACIONAL,17
5449,ESCRUTINIO,VOTOS BLANCOS,0
5449,ESCRUTINIO,VOTOS NULOS,1
5449,ESCRUTINIO,GRAN TOTAL,200
5449,TREP,DC,0
5449,TREP,PINU,4
5449,TREP,P. LIBERAL,138
5449,TREP,LIBRE,40
5449,TREP,P. NACIONAL,17
5449,TREP,VOTOS BLANCOS,0
5449,TREP,VOTOS NULOS,1
5449,TREP,GRAN TOTAL,200
5450,ESCRUTINIO,DC,1
5450,ESCRUTINIO,PINU,4
5450,ESCRUTINIO,P. LIBERAL,150
5450,ESCRUTINIO,LIBRE,34
5450,ESCRUTINIO,P. NACIONAL,23
5450,ESCRUTINIO,VOTOS BLANCOS,0
5450,ESCRUTINIO,VOTOS NULOS,1
5450,ESCRUTINIO,GRAN TOTAL,213
5450,TREP,DC,1
5450,TREP,PINU,4
5450,TREP,P. LIBERAL,150
5450,TREP,LIBRE,34
5450,TREP,P. NACIONAL,23
5450,TREP,VOTOS BLANCOS,0
5450,TREP,VOTOS NULOS,1
5450,TREP,GRAN TOTAL,213
5451,ESCRUTINIO,DC,1
5451,ESCRUTINIO,PINU,6
5451,ESCRUTINIO,P. LIBERAL,126
5451,ESCRUTINIO,LIBRE,43
5451,ESCRUTINIO,P. NACIONAL,33
5451,ESCRUTINIO,VOTOS BLANCOS,0
5451,ESCRUTINIO,VOTOS NULOS,5
5451,ESCRUTINIO,GRAN TOTAL,214
5451,TREP,DC,1
5451,TREP,PINU,6
5451,TREP,P. LIBERAL,126
5451,TREP,LIBRE,43
5451,TREP,P. NACIONAL,33
5451,TREP,VOTOS BLANCOS,0
5451,TREP,VOTOS NULOS,5
5451,TREP,GRAN TOTAL,214
5452,ESCRUTINIO,DC,0
5452,ESCRUTINIO,PINU,7
5452,ESCRUTINIO,P. LIBERAL,139
5452,ESCRUTINIO,LIBRE,26
5452,ESCRUTINIO,P. NACIONAL,26
5452,ESCRUTINIO,VOTOS BLANCOS,0
5452,ESCRUTINIO,VOTOS NULOS,1
5452,ESCRUTINIO,GRAN TOTAL,199
5452,TREP,DC,0
5452,TREP,PINU,7
5452,TREP,P. LIBERAL,139
5452,TREP,LIBRE,26
5452,TREP,P. NACIONAL,26
5452,TREP,VOTOS BLANCOS,0
5452,TREP,VOTOS NULOS,1
5452,TREP,GRAN TOTAL,199
5453,ESCRUTINIO,DC,1
5453,ESCRUTINIO,PINU,4
5453,ESCRUTINIO,P. LIBERAL,148
5453,ESCRUTINIO,LIBRE,23
5453,ESCRUTINIO,P. NACIONAL,31
5453,ESCRUTINIO,VOTOS BLANCOS,0
5453,ESCRUTINIO,VOTOS NULOS,2
5453,ESCRUTINIO,GRAN TOTAL,209
5453,TREP,DC,1
5453,TREP,PINU,4
5453,TREP,P. LIBERAL,148
5453,TREP,LIBRE,23
5453,TREP,P. NACIONAL,31
5453,TREP,VOTOS BLANCOS,0
5453,TREP,VOTOS NULOS,2
5453,TREP,GRAN TOTAL,209
5456,ESCRUTINIO,DC,0
5456,ESCRUTINIO,PINU,8
5456,ESCRUTINIO,P. LIBERAL,138
5456,ESCRUTINIO,LIBRE,32
5456,ESCRUTINIO,P. NACIONAL,30
5456,ESCRUTINIO,VOTOS BLANCOS,1
5456,ESCRUTINIO,VOTOS NULOS,5
5456,ESCRUTINIO,GRAN TOTAL,214
5456,TREP,DC,0
5456,TREP,PINU,8
5456,TREP,P. LIBERAL,138
5456,TREP,LIBRE,32
5456,TREP,P. NACIONAL,30
5456,TREP,VOTOS BLANCOS,1
5456,TREP,VOTOS NULOS,5
5456,TREP,GRAN TOTAL,214
5457,ESCRUTINIO,DC,1
5457,ESCRUTINIO,PINU,1
5457,ESCRUTINIO,P. LIBERAL,138
5457,ESCRUTINIO,LIBRE,20
5457,ESCRUTINIO,P. NACIONAL,49
5457,ESCRUTINIO,VOTOS BLANCOS,3
5457,ESCRUTINIO,VOTOS NULOS,0
5457,ESCRUTINIO,GRAN TOTAL,212
5457,TREP,DC,1
5457,TREP,PINU,1
5457,TREP,P. LIBERAL,137
5457,TREP,LIBRE,20
5457,TREP,P. NACIONAL,47
5457,TREP,VOTOS BLANCOS,1
5457,TREP,VOTOS NULOS,5
5457,TREP,GRAN TOTAL,212
5542,ESCRUTINIO,DC,3
5542,ESCRUTINIO,PINU,4
5542,ESCRUTINIO,P. LIBERAL,119
5542,ESCRUTINIO,LIBRE,16
5542,ESCRUTINIO,P. NACIONAL,66
5542,ESCRUTINIO,VOTOS BLANCOS,1
5542,ESCRUTINIO,VOTOS NULOS,5
5542,ESCRUTINIO,GRAN TOTAL,214
5542,TREP,DC,3
5542,TREP,PINU,4
5542,TREP,P. LIBERAL,119
5542,TREP,LIBRE,16
5542,TREP,P. NACIONAL,66
5542,TREP,VOTOS BLANCOS,1
5542,TREP,VOTOS NULOS,5
5542,TREP,GRAN TOTAL,214
5605,ESCRUTINIO,DC,0
5605,ESCRUTINIO,PINU,2
5605,ESCRUTINIO,P. LIBERAL,81
5605,ESCRUTINIO,LIBRE,34
5605,ESCRUTINIO,P. NACIONAL,89
5605,ESCRUTINIO,VOTOS BLANCOS,0
5605,ESCRUTINIO,VOTOS NULOS,6
5605,ESCRUTINIO,GRAN TOTAL,212
5605,TREP,DC,0
5605,TREP,PINU,2
5605,TREP,P. LIBERAL,81
5605,TREP,LIBRE,34
5605,TREP,P. NACIONAL,89
5605,TREP,VOTOS BLANCOS,0
5605,TREP,VOTOS NULOS,6
