Fecha_Hora,Departamento,JRV,Nivel,Estado,Detalle
2026-02-07 09:09:54,FRANCISCO MORAZAN,10666,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:10:04,FRANCISCO MORAZAN,10666,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:10:08,FRANCISCO MORAZAN,10666,ALCALDE,EXITO,Guardado en no_computadas
2026-02-07 09:10:13,FRANCISCO MORAZAN,10708,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:10:23,FRANCISCO MORAZAN,10708,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:10:27,FRANCISCO MORAZAN,10708,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:10:31,FRANCISCO MORAZAN,10709,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:10:42,FRANCISCO MORAZAN,10709,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:10:46,FRANCISCO MORAZAN,10709,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:10:50,FRANCISCO MORAZAN,10735,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:11:01,FRANCISCO MORAZAN,10735,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:11:05,FRANCISCO MORAZAN,10735,ALCALDE,EXITO,Guardado en no_computadas
2026-02-07 09:11:09,FRANCISCO MORAZAN,10873,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:11:20,FRANCISCO MORAZAN,10873,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:11:24,FRANCISCO MORAZAN,10873,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:11:28,FRANCISCO MORAZAN,10936,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:11:38,FRANCISCO MORAZAN,10936,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:11:43,FRANCISCO MORAZAN,10936,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:11:47,FRANCISCO MORAZAN,10953,PRESIDENTE,EXITO,Guardado en no_computadas
